ID ,Water consumption (MGal/year),Fuel type,Cooling ID
NM_17718_2454_2_122B_PLANT_Natural Gas and Other Gases,406.10600000000005,Natural Gas and Other Gases,NM_17718_2454_PLANT
NY_55951_2589_2_NSS2_U2_Nuclear,5699.620999999999,Nuclear,NY_55951_2589_U2
NC_5416_2718_2_2_2_Coal,1.966,Coal,NC_5416_2718_2
NC_5416_2727_2_2_2_Coal,66.86800000000001,Coal,NC_5416_2727_2
ND_12199_2790_2_B2_C12_Coal,13.666999999999998,Coal,ND_12199_2790_C12
OK_14063_2956_2_2_CP_Natural Gas and Other Gases,427.24699999999996,Natural Gas and Other Gases,OK_14063_2956_CP
OK_15474_2963_2_3302_PLANT_Natural Gas and Other Gases,1278.1800000000003,Natural Gas and Other Gases,OK_15474_2963_PLANT
OK_15474_2965_2_1402_1402_Natural Gas and Other Gases,63.782000000000004,Natural Gas and Other Gases,OK_15474_2965_1402
OK_20447_3008_2_2_PLANT_Natural Gas and Other Gases,70.111,Natural Gas and Other Gases,OK_20447_3008_PLANT
PA_63047_3118_2_2_2_Coal,3624.0729999999994,Coal,PA_63047_3118_2
PA_58615_3122_2_2_PLANT_Coal,2433.302,Coal,PA_58615_3122_PLANT
PA_63044_3131_2_2_1_Natural Gas and Other Gases,9.759,Natural Gas and Other Gases,PA_63044_3131_1
PA_63047_3136_2_2_2_Coal,1260.0,Coal,PA_63047_3136_2
PA_15537_3140_2_2_2_Coal,477.60999999999996,Coal,PA_15537_3140_2
PA_15534_3149_2_2_2_Coal,674.483,Coal,PA_15534_3149_2
PA_55951_3166_2_NSS2_PLANT_Nuclear,7778.648,Nuclear,PA_55951_3166_PLANT
TN_18642_3393_2_2_1_Coal,254.0,Coal,TN_18642_3393_1
TN_18642_3406_2_2_1_Coal,12.0,Coal,TN_18642_3406_1
TX_55983_3452_2_2_1_Natural Gas and Other Gases,131.284,Natural Gas and Other Gases,TX_55983_3452_1
TX_5701_3456_2_2_2_Natural Gas and Other Gases,179.022,Natural Gas and Other Gases,TX_5701_3456_2
TX_55937_3457_2_2_1_Natural Gas and Other Gases,1509.2169999999999,Natural Gas and Other Gases,TX_55937_3457_1
TX_55937_3459_2_2_2_Natural Gas and Other Gases,147.82500000000002,Natural Gas and Other Gases,TX_55937_3459_2
